learning_rate,lambda_1,lambda_2,lambda_4,lambda_8
0.005,0.7142857142857142,0.7171428571428572,0.722857142857143,0.7285714285714285
0.01,0.7257142857142858,0.74,0.74,0.7257142857142858
0.1,0.7342857142857142,0.7342857142857142,0.74,0.7257142857142858
0.5,0.7342857142857142,0.7228571428571429,0.5428571428571429,0.4628571428571429
