method,accuracy,precision_macro,recall_macro,f1_macro
ARM-guided KMeans,0.6772,0.6565824338920101,0.6772,0.6609421738111023
Original KMeans,0.29619999999999996,0.29587262260820585,0.29619999999999996,0.2940815997236589
