method,accuracy,precision_macro,recall_macro,f1_macro
ARM-guided KMeans,0.0009746794344808695,0.0011508210928594248,0.0009746794344808695,0.0010836388594353927
Original KMeans,0.0015652475842498643,0.0016729115991704743,0.0015652475842498643,0.0011991465259275343
