learning_rate,reg_lambda,fold_1,fold_2,fold_3,fold_4,fold_5,avg_accuracy,std_accuracy
0.005,1.0,0.6714285714285714,0.7142857142857143,0.7857142857142857,0.6285714285714286,0.7714285714285715,0.7142857142857142,0.059246975295222076
0.005,2.0,0.6714285714285714,0.7285714285714285,0.8,0.6285714285714286,0.7571428571428571,0.7171428571428572,0.06087793072189292
0.005,4.0,0.6857142857142857,0.7428571428571429,0.7571428571428571,0.6285714285714286,0.8,0.722857142857143,0.05965889433663173
0.005,8.0,0.7428571428571429,0.7428571428571429,0.7285714285714285,0.6428571428571429,0.7857142857142857,0.7285714285714285,0.04694764778615708
0.01,1.0,0.6857142857142857,0.7428571428571429,0.7714285714285715,0.6428571428571429,0.7857142857142857,0.7257142857142858,0.05375682206350507
0.01,2.0,0.7,0.7571428571428571,0.7857142857142857,0.6428571428571429,0.8142857142857143,0.74,0.061544740652965745
0.01,4.0,0.7142857142857143,0.7571428571428571,0.7714285714285715,0.6571428571428571,0.8,0.74,0.04981598792617913
0.01,8.0,0.7428571428571429,0.7285714285714285,0.7285714285714285,0.6428571428571429,0.7857142857142857,0.7257142857142858,0.046423076597919756
0.1,1.0,0.7142857142857143,0.7571428571428571,0.7714285714285715,0.6428571428571429,0.7857142857142857,0.7342857142857142,0.05158705738647938
0.1,2.0,0.7142857142857143,0.7714285714285715,0.7428571428571429,0.6571428571428571,0.7857142857142857,0.7342857142857142,0.045714285714285714
0.1,4.0,0.7142857142857143,0.7571428571428571,0.7571428571428571,0.6714285714285714,0.8,0.74,0.04370588154508104
0.1,8.0,0.7428571428571429,0.7285714285714285,0.7285714285714285,0.6428571428571429,0.7857142857142857,0.7257142857142858,0.046423076597919756
0.5,1.0,0.7142857142857143,0.7571428571428571,0.7714285714285715,0.6428571428571429,0.7857142857142857,0.7342857142857142,0.05158705738647938
0.5,2.0,0.7142857142857143,0.7714285714285715,0.6857142857142857,0.6571428571428571,0.7857142857142857,0.7228571428571429,0.049156144383100724
0.5,4.0,0.5428571428571428,0.5428571428571428,0.5142857142857142,0.5571428571428572,0.5571428571428572,0.5428571428571429,0.015649215928719054
0.5,8.0,0.45714285714285713,0.4714285714285714,0.4857142857142857,0.4142857142857143,0.4857142857142857,0.4628571428571429,0.026496052844273428
