C,testing,training,validation
0.001,0.6706761559645235,0.766045768590481,0.6696159402852333
0.01,0.6706761559645235,0.766045768590481,0.6696159402852333
0.1,0.67519638674238,0.7715201611371781,0.6752922678290112
1.0,0.8978824646167446,0.9808738525947807,0.8629539618566606
10.0,0.8977865043050355,1.0,0.8683320709023291
100.0,0.9026302788618059,1.0,0.8683320709023291
1000.0,0.9026302788618059,1.0,0.8683320709023291
10000.0,0.9026302788618059,1.0,0.8683320709023291
